idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
70,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.17093749999999996,0.67975,0.170625,0.6772499999999999,0.1828125,0.6809999999999999,0.159375,0.6809999999999999,137936.6270231828,29208.915940709412
71,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1825,0.6785,0.1940625,0.6772499999999999,0.1828125,0.6809999999999999,0.170625,0.6772499999999999,131982.1231444801,48561.05354649946
72,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.13531250000000003,0.6759999999999998,0.135,0.6735,0.1471875,0.6772499999999999,0.12375,0.6772499999999999,161713.4670760017,40274.71045854812
73,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1475,0.67975,0.1471875,0.6772499999999999,0.159375,0.6809999999999999,0.1359375,0.6809999999999999,152061.8158231474,36022.48236275589
74,0,flange:flange,0.4166666666666667,4.394531250000034e-05,0.12406249999999998,0.67975,0.12375,0.6772499999999999,0.1359375,0.6809999999999999,0.1125,0.6809999999999999,165207.61024185613,53621.47083229696
75,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.135625,0.6785,0.1471875,0.6772499999999999,0.1359375,0.6809999999999999,0.12375,0.6772499999999999,161713.4670760017,64977.436121329665
76,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1703125,0.67475,0.181875,0.6735,0.170625,0.6772499999999999,0.1584375,0.6735,140017.33596071447,50756.20046639194
77,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1590625,0.6785,0.170625,0.6772499999999999,0.159375,0.6809999999999999,0.1471875,0.6772499999999999,146371.89582669176,54514.722351239376
78,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.146875,0.67475,0.1584375,0.6735,0.1471875,0.6772499999999999,0.135,0.6735,155976.84560538892,58918.730238048985
79,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.15875,0.6759999999999998,0.170625,0.6772499999999999,0.1471875,0.6772499999999999,0.1584375,0.6735,146371.89582669176,30103.880901932716
80,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.20656249999999998,0.6834999999999999,0.20625,0.6809999999999999,0.2184375,0.68475,0.195,0.68475,117756.1162005722,26372.438804780446
81,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.21875,0.68725,0.2184375,0.68475,0.230625,0.6884999999999999,0.2071875,0.6884999999999999,111188.65184630423,26237.12959708646
82,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1953125,0.68725,0.195,0.68475,0.2071875,0.6884999999999999,0.18375,0.6884999999999999,123279.84730681404,27987.39656460161
83,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.206875,0.6859999999999999,0.2184375,0.68475,0.2071875,0.6884999999999999,0.195,0.68475,117756.1162005722,45939.522659902774
84,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.2309375,0.691,0.230625,0.6884999999999999,0.2428125,0.6922499999999999,0.219375,0.6922499999999999,104830.07786974467,26135.951783023775
85,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.243125,0.69475,0.2428125,0.6922499999999999,0.255,0.696,0.2315625,0.696,98610.73897114024,26073.77704764406
86,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.2196875,0.69475,0.219375,0.6922499999999999,0.2315625,0.696,0.208125,0.696,110208.31651461622,27252.518147621304
87,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.23124999999999998,0.6934999999999999,0.2428125,0.6922499999999999,0.2315625,0.696,0.219375,0.6922499999999999,104830.07786974467,44731.79374345889
88,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1840625,0.691,0.18375,0.6884999999999999,0.1959375,0.6922499999999999,0.1725,0.6922499999999999,128620.07351723811,30200.61591535186
89,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.19625,0.69475,0.1959375,0.6922499999999999,0.208125,0.696,0.1846875,0.696,121909.73446217366,29278.91463611275
90,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1728125,0.69475,0.1725,0.6922499999999999,0.1846875,0.696,0.16125,0.696,133562.0730920664,33348.433183114976
91,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.18437499999999998,0.6934999999999999,0.1959375,0.6922499999999999,0.1846875,0.696,0.1725,0.6922499999999999,128620.07351723811,49409.931801302984
92,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.21906249999999997,0.68975,0.230625,0.6884999999999999,0.219375,0.6922499999999999,0.2071875,0.6884999999999999,111188.65184630423,45211.67371271178
93,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.20781249999999998,0.6934999999999999,0.219375,0.6922499999999999,0.208125,0.696,0.1959375,0.6922499999999999,116617.27728550478,46479.400460291654
94,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.19562499999999997,0.68975,0.2071875,0.6884999999999999,0.1959375,0.6922499999999999,0.18375,0.6884999999999999,123279.84730681404,47556.35109923159
95,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.2075,0.6909999999999998,0.219375,0.6922499999999999,0.1959375,0.6922499999999999,0.2071875,0.6884999999999999,116617.27728550478,27568.641035308443
96,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1128125,0.6834999999999999,0.1125,0.6809999999999999,0.1246875,0.68475,0.10125,0.68475,165555.90509235705,70605.15105890732
97,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.125,0.68725,0.1246875,0.68475,0.136875,0.6884999999999999,0.1134375,0.6884999999999999,158428.34695860435,57351.818827713534
98,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1015625,0.68725,0.10125,0.68475,0.1134375,0.6884999999999999,0.09,0.6884999999999999,162235.1814730031,89526.84499187395
99,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.11312499999999999,0.6859999999999999,0.1246875,0.68475,0.1134375,0.6884999999999999,0.10125,0.68475,165555.90509235705,78734.49322899804
100,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1371875,0.691,0.136875,0.6884999999999999,0.1490625,0.6922499999999999,0.125625,0.6922499999999999,151305.22970596174,48259.62562490876
101,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.149375,0.69475,0.1490625,0.6922499999999999,0.16125,0.696,0.1378125,0.696,144411.10861557382,42025.794236492366
102,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1259375,0.69475,0.125625,0.6922499999999999,0.1378125,0.696,0.114375,0.696,152412.26548361126,59110.29123029362
103,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.13749999999999998,0.6934999999999999,0.1490625,0.6922499999999999,0.1378125,0.696,0.125625,0.6922499999999999,151305.22970596174,62708.15750765925
104,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0903125,0.691,0.09,0.6884999999999999,0.1021875,0.6922499999999999,0.07875,0.6922499999999999,155158.79240987514,108407.2802336514
105,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.1025,0.69475,0.1021875,0.6922499999999999,0.114375,0.696,0.0909375,0.696,153914.02315077683,87470.55317824087
106,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0790625,0.69475,0.07875,0.6922499999999999,0.0909375,0.696,0.0675,0.696,144610.80744000463,125485.81210761642
107,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.090625,0.6934999999999999,0.1021875,0.6922499999999999,0.0909375,0.696,0.07875,0.6922499999999999,155158.79240987514,91204.86095555748
108,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.12531249999999997,0.68975,0.136875,0.6884999999999999,0.125625,0.6922499999999999,0.1134375,0.6884999999999999,158428.34695860435,69628.97738284743
