element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d
6934,0,flange:flange,,89,1.0,0.4166666666666667,0.2,19,29,22,0.26944444444444443,0.681,3.0,0.0008333333333333313,0.25555555555555554,0.2833333333333333,0.666,0.696,-10234.425417228136,564.5819786253851,2320375.3888956457,-1100.898262312015,31875.36355825762,126113.65240272135
6935,0,flange:flange,,89,1.0,0.4166666666666667,0.2,20,29,22,0.2972222222222222,0.681,3.0,0.0008333333333333313,0.2833333333333333,0.3111111111111111,0.666,0.696,-7884.894022448978,557.6226954618469,2261244.1574050817,-1221.9974031051001,32006.921756851178,112603.94222520292
6936,0,flange:flange,,89,1.0,0.4166666666666667,0.2,21,29,22,0.325,0.681,3.0,0.0008333333333333313,0.3111111111111111,0.3388888888888889,0.666,0.696,-5771.091007790936,586.2557520200498,2202464.293070303,-1317.3099089662235,33623.14825296402,98845.21817314129
6937,0,flange:flange,,89,1.0,0.4166666666666667,0.2,22,29,22,0.3527777777777778,0.681,3.0,0.0008333333333333313,0.3388888888888889,0.3666666666666667,0.666,0.696,-3897.3506728165084,694.186662921973,2144018.509223246,-1367.5049876173339,38153.94582080345,84206.47772581628
6938,0,flange:flange,,89,1.0,0.4166666666666667,0.2,23,29,22,0.38055555555555554,0.681,3.0,0.0008333333333333297,0.3666666666666667,0.39444444444444443,0.666,0.696,-2297.530914139352,948.4792500321637,2085868.0490839316,-1336.3880962133408,48814.051526896656,67390.040997987
6939,0,flange:flange,,89,1.0,0.4166666666666667,0.2,24,29,22,0.4083333333333333,0.681,3.0,0.0008333333333333313,0.39444444444444443,0.4222222222222222,0.666,0.696,-1028.6990438297507,1480.4019371524919,2027938.9248191977,-1173.035960594813,72634.65691367786,45568.02202516546
6940,0,flange:flange,,89,1.0,0.4166666666666667,0.2,25,29,22,0.4361111111111111,0.681,3.0,0.0008333333333333313,0.4222222222222222,0.45,0.666,0.696,-195.65340943005867,2798.1800396058243,1970164.302432413,-634.282951404651,121819.86418686807,15964.467173479497
6941,0,flange:flange,,89,1.0,0.4166666666666667,0.2,0,30,22,-0.28500000000000003,0.711,3.0,0.0009,-0.3,-0.27,0.696,0.726,-202.4298328780569,-1206.625994282309,3729417.7554335943,-977.3515397806963,-40496.506407645844,-19514.438455502193
6942,0,flange:flange,,89,1.0,0.4166666666666667,0.2,1,30,22,-0.255,0.711,3.0,0.0009000000000000016,-0.27,-0.24,0.696,0.726,-1267.22114522825,-237.8054566141218,3668808.390191512,-2164.385287413995,7278.546041933199,-55234.75708899399
6943,0,flange:flange,,89,1.0,0.4166666666666667,0.2,2,30,22,-0.22499999999999998,0.711,3.0,0.0009000000000000007,-0.24,-0.21,0.696,0.726,-2880.3740036920644,12.138831845368259,3609811.8062549834,-2874.2005085448427,29360.257996954024,-82183.09609524906
